2a02:26f7:b700:4000::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b700:c120::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b701:4000::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b702:4000::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b702:c120::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b703:4000::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b704:4000::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b704:c120::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b705:4000::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b708:4000::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b708:c120::/64,BR,BR-AC,Rio Branco,
2a02:26f7:b709:4000::/64,BR,BR-AC,Rio Branco,
2a02:26f7:e4c0:4000::/64,BR,BR-PE,Pernambuco,
2a02:26f7:e4c1:4000::/64,BR,BR-PE,Pernambuco,
2a02:26f7:e4c2:4000::/64,BR,BR-PE,Pernambuco,
2a02:26f7:e4c3:4000::/64,BR,BR-PE,Pernambuco,
2a02:26f7:e4c4:4000::/64,BR,BR-PE,Pernambuco,
2a02:26f7:e4c5:4000::/64,BR,BR-PE,Pernambuco,
2a02:26f7:e4c8:4000::/64,BR,BR-PE,Pernambuco,
2a02:26f7:e4c9:4000::/64,BR,BR-PE,Pernambuco,
2a02:26f7:e500:4000::/64,BR,BR-SP,Sao Paulo,
2a02:26f7:e500:5800::/64,BR,BR-BA,Salvador,
2a02:26f7:e500:5801::/64,BR,BR-CE,Fortaleza,
2a02:26f7:e500:5802::/64,BR,BR-DF,Brasilia,
2a02:26f7:e500:5803::/64,BR,BR-MG,Belo Horizonte,
2a02:26f7:e500:5804::/64,BR,BR-PE,Recife,
2a02:26f7:e500:5805::/64,BR,BR-PR,Curitiba,
2a02:26f7:e500:5806::/64,BR,BR-RJ,Rio de Janeiro,
2a02:26f7:e500:5807::/64,BR,BR-RS,Porto Alegre,
2a02:26f7:e500:5808::/64,BR,BR-SP,Sao Paulo,
2a02:26f7:e500:5809::/64,BR,BR-AL,Maceio,
2a02:26f7:e500:580a::/64,BR,BR-AL,Palmeira dos Indios,
2a02:26f7:e500:580b::/64,BR,BR-AP,Macapa,
2a02:26f7:e500:580c::/64,BR,BR-BA,Cardeal da Silva,
2a02:26f7:e500:580d::/64,BR,BR-BA,Coaraci,
2a02:26f7:e500:580e::/64,BR,BR-BA,Guanambi,
2a02:26f7:e500:580f::/64,BR,BR-BA,Ibirapua,
2a02:26f7:e500:5810::/64,BR,BR-BA,Ilheus,
2a02:26f7:e500:5811::/64,BR,BR-BA,Jequie,
